Year,Town,Assessed_Value_Medians
2012,Marlborough,165340
2012,Meriden,112140
2012,Middlebury,176750
2012,Middlefield,147400
2012,Middletown,161700
2012,Milford,195170
2012,Monroe,286580
2012,Montville,108465
2012,Morris,205525
2012,Naugatuck,156955
2012,New Britain,117005
2012,New Canaan,964600
2012,New Fairfield,215200
2012,New Hartford,207935
2012,New Haven,100450
2012,New London,137760
2012,New Milford,192430
2012,Newington,140450
2012,Newtown,348410
2012,Norfolk,180450
2012,North Branford,175650
2012,North Canaan,149900
2012,North Haven,200305
2012,North Stoningto,148680
2012,Norwalk,316890
2012,Norwich,132000
2012,Old Lyme,252100
2012,Old Saybrook,292500
2012,Orange,285100
2012,Oxford,224850
2012,Plainfield,131460
2012,Plainville,119280
2012,Plymouth,122370
2012,Pomfret,179600
2012,Portland,161490
2012,Preston,189200
2012,Prospect,170200
2012,Putnam,112150
2012,Redding,468500
2012,Ridgefield,495420
2012,Rocky Hill,205520
2012,Roxbury,680020
2012,Salem,208000
2012,Salisbury,316600
2012,Scotland,169935
2012,Seymour,156240
2012,Sharon,352500
2012,Shelton,207900
2012,Sherman,317800
2012,Simsbury,240910
2012,Somers,191800
2012,South Windsor,198775
2012,Southbury,270170
2012,Southington,187555
2012,Sprague,118300
2012,Stafford,133560
2012,Stamford,478915
2012,Sterling,175910
2012,Stonington,264500
2012,Stratford,168980
2012,Suffield,205415
2012,Thomaston,158725
2012,Thompson,112800
2012,Tolland,193700
2012,Torrington,118405
2012,Trumbull,223600
2012,Union,188510
2012,Vernon,125860
2012,Voluntown,128700
2012,Wallingford,161100
2012,Warren,247730
2012,Washington,405300
2012,Waterbury,115000
2012,Waterford,184080
2012,Watertown,162900
2012,West Hartford,192150
2012,West Haven,134680
2012,Westbrook,183960
2012,Weston,578900
2012,Westport,669900
2012,Wethersfield,175500
2012,Willington,162650
2012,Wilton,613550
2012,Winchester,123970
2012,Windham,99870
2012,Windsor,141855
2012,Windsor Locks,128250
2012,Wolcott,142860
2012,Woodbridge,311780
2012,Woodbury,303720
2012,Woodstock,164400
2013,Andover,176900
2013,Ansonia,115100
2013,Ashford,128800
2013,Avon,324290
2013,Barkhamsted,189385
2013,Beacon Falls,161790
2013,Berlin,176100
2013,Bethany,237805
2013,Bethel,212320
2013,Bethlehem,203350
2013,Bloomfield,143220
2013,Bolton,176150
2013,Bozrah,128920
2013,Branford,214900
2013,Bridgeport,143015
2013,Bridgewater,307500
2013,Bristol,119175
2013,Brookfield,239815
2013,Brooklyn,140400
2013,Burlington,217560
2013,Canaan,189150
2013,Canterbury,172100
2013,Canton,228430
2013,Chaplin,163800
2013,Cheshire,207420
2013,Chester,216870
2013,Clinton,178300
2013,Colchester,158450
2013,Colebrook,210550
2013,Columbia,142800
2013,Cornwall,329300
2013,Coventry,152550
2013,Cromwell,156330
2013,Danbury,167600
2013,Darien,948605
2013,Deep River,182840
2013,Derby,122990
2013,Durham,220010
2013,East Granby,196000
2013,East Haddam,142380
2013,East Hampton,173340
2013,East Hartford,98780
2013,East Haven,125550
2013,East Lyme,191590
2013,East Windsor,122000
2013,Eastford,184545
2013,Easton,376745
2013,Ellington,172160
2013,Enfield,117190
2013,Essex,298850
2013,Fairfield,361690
2013,Farmington,184900
2013,Franklin,171480
2013,Glastonbury,217700
2013,Goshen,229490
2013,Granby,177660
2013,Greenwich,1003275
2013,Griswold,118580
2013,Groton,153060
2013,Guilford,298360
2013,Haddam,205720
2013,Hamden,154105
2013,Hampton,143610
2013,Hartford,42081
2013,Hartland,154510
2013,Harwinton,167830
2013,Hebron,188790
2013,Kent,296700
2013,Killingly,127540
2013,Killingworth,188880
2013,Lebanon,182835
2013,Ledyard,148610
2013,Lisbon,117130
2013,Litchfield,249390
2013,Lyme,431900
2013,Madison,359800
2013,Manchester,124650
2013,Mansfield,162540
2013,Marlborough,163170
2013,Meriden,113050
2013,Middlebury,176600
2013,Middlefield,152750
2013,Middletown,165165
2013,Milford,201145
2013,Monroe,266080
2013,Montville,123210
2013,Morris,210680
2013,Naugatuck,109970
2013,New Britain,91490
2013,New Canaan,932050
2013,New Fairfield,233600
2013,New Hartford,216055
2013,New Haven,116690
2013,New London,145530
2013,New Milford,210810
2013,Newington,142300
2013,Newtown,215485
2013,Norfolk,256100
2013,North Branford,187700
2013,North Canaan,112555
2013,North Haven,191660
2013,North Stoningto,154980
2013,Norwalk,322490
2013,Norwich,128000
2013,Old Lyme,255750
2013,Old Saybrook,295800
2013,Orange,211400
2013,Oxford,227300
2013,Plainfield,99040
2013,Plainville,124250
2013,Plymouth,125390
2013,Pomfret,194150
2013,Portland,166250
2013,Preston,152800
2013,Prospect,169410
2013,Putnam,124600
2013,Redding,430000
2013,Ridgefield,434435
2013,Rocky Hill,202300
2013,Roxbury,458125
2013,Salem,174500
2013,Salisbury,355650
2013,Scotland,161630
2013,Seymour,150150
2013,Sharon,326800
2013,Shelton,204050
2013,Sherman,366300
2013,Simsbury,188250
2013,Somers,206400
2013,South Windsor,172050
2013,Southbury,234210
2013,Southington,164100
2013,Sprague,93730
2013,Stafford,133105
2013,Stamford,342420
2013,Sterling,94490
2013,Stonington,187000
2013,Stratford,171605
2013,Suffield,192640
2013,Thomaston,131040
2013,Thompson,113700
2013,Tolland,176750
2013,Torrington,122620
2013,Trumbull,239400
2013,Union,209630
2013,Vernon,127370
2013,Voluntown,145680
2013,Wallingford,165200
2013,Warren,213710
2013,Washington,537720
2013,Waterbury,75670
2013,Waterford,156180
2013,Watertown,158000
2013,West Hartford,197925
2013,West Haven,130200
2013,Westbrook,198725
2013,Weston,555900
2013,Westport,660550
2013,Wethersfield,174400
2013,Willington,153960
2013,Wilton,504835
2013,Winchester,98210
2013,Windham,100140
2013,Windsor,147490
2013,Windsor Locks,124450
2013,Wolcott,145085
2013,Woodbridge,292425
2013,Woodbury,265160
2013,Woodstock,153800
2014,Andover,151200
2014,Ansonia,113950
2014,Ashford,129400
2014,Avon,258285
2014,Barkhamsted,174830
2014,Beacon Falls,158520
2014,Berlin,163200
2014,Bethany,234890
2014,Bethel,200160
2014,Bethlehem,187400
2014,Bloomfield,138460
2014,Bolton,159350
2014,Bozrah,137790
2014,Branford,220550
2014,Bridgeport,148140
2014,Bridgewater,403830
2014,Bristol,118650
2014,Brookfield,228460
2014,Brooklyn,138650
2014,Burlington,208390
2014,Canaan,188400
2014,Canterbury,147200
2014,Canton,198060
2014,Chaplin,106400
2014,Cheshire,185405
2014,Chester,167665
2014,Clinton,167700
2014,Colchester,155500
2014,Colebrook,188900
2014,Columbia,159100
2014,Cornwall,290400
2014,Coventry,147250
2014,Cromwell,139975
2014,Danbury,165350
2014,Darien,790930
2014,Deep River,168840
2014,Derby,120540
2014,Durham,212275
2014,East Granby,151900
2014,East Haddam,177660
2014,East Hampton,168040
2014,East Hartford,99660
2014,East Haven,131470
2014,East Lyme,181685
2014,East Windsor,115505
2014,Eastford,157960
2014,Easton,400530
2014,Ellington,177510
2014,Enfield,121685
2014,Essex,261100
2014,Fairfield,359835
2014,Farmington,210000
2014,Franklin,102770
2014,Glastonbury,215450
2014,Goshen,237405
2014,Granby,182210
2014,Greenwich,952000
2014,Griswold,109830
2014,Groton,147595
2014,Guilford,209790
2014,Haddam,216995
2014,Hamden,146650
2014,Hampton,169290
2014,Hartford,45344
2014,Hartland,188305
2014,Harwinton,143120
2014,Hebron,191540
2014,Kent,257650
2014,Killingly,80640
2014,Killingworth,241170
2014,Lebanon,144880
2014,Ledyard,158760
2014,Lisbon,121060
2014,Litchfield,208440
2014,Lyme,290500
2014,Madison,234050
2014,Manchester,121600
2014,Mansfield,163065
2014,Marlborough,187950
2014,Meriden,110250
2014,Middlebury,181200
2014,Middlefield,154950
2014,Middletown,119570
2014,Milford,196025
2014,Monroe,240520
2014,Montville,119810
2014,Morris,229270
2014,Naugatuck,102470
2014,New Britain,93310
2014,New Canaan,837130
2014,New Fairfield,232150
2014,New Hartford,155855
2014,New Haven,100240
2014,New London,97790
2014,New Milford,191240
2014,Newington,137565
2014,Newtown,239860
2014,Norfolk,209760
2014,North Branford,184900
2014,North Canaan,127770
2014,North Haven,196665
2014,North Stoningto,168420
2014,Norwalk,249050
2014,Norwich,81800
2014,Old Lyme,248650
2014,Old Saybrook,236600
2014,Orange,222900
2014,Oxford,213800
2014,Plainfield,100320
2014,Plainville,121310
2014,Plymouth,123735
2014,Pomfret,197950
2014,Portland,162050
2014,Preston,138200
2014,Prospect,156590
2014,Putnam,124050
2014,Redding,389600
2014,Ridgefield,399775
2014,Rocky Hill,154910
2014,Roxbury,456120
2014,Salem,177200
2014,Salisbury,312000
2014,Scotland,128785
2014,Seymour,151270
2014,Sharon,246200
2014,Shelton,193725
2014,Sherman,289500
2014,Simsbury,201050
2014,Somers,194250
2014,South Windsor,171500
2014,Southbury,183200
2014,Southington,171985
2014,Sprague,90090
2014,Stafford,121695
2014,Stamford,329610
2014,Sterling,117490
2014,Stonington,176700
2014,Stratford,168980
2014,Suffield,182770
2014,Thomaston,124950
2014,Thompson,120600
2014,Tolland,182000
2014,Torrington,111985
2014,Trumbull,231550
2014,Union,139810
2014,Vernon,127540
2014,Voluntown,152910
2014,Wallingford,164000
2014,Warren,329105
2014,Washington,416285
2014,Waterbury,75430
2014,Waterford,148860
2014,Watertown,129900
2014,West Hartford,195510
2014,West Haven,133560
2014,Westbrook,202520
2014,Weston,579550
2014,Westport,638100
2014,Wethersfield,150100
2014,Willington,108520
2014,Wilton,477035
2014,Winchester,96810
2014,Windham,78185
2014,Windsor,123095
2014,Windsor Locks,111800
2014,Wolcott,154320
2014,Woodbridge,299425
2014,Woodbury,232070
2014,Woodstock,148450
2015,Andover,164000
2015,Ansonia,112300
2015,Ashford,130650
2015,Avon,247990
2015,Barkhamsted,149220
2015,Beacon Falls,155100
2015,Berlin,169900
2015,Bethany,220265
2015,Bethel,186265
2015,Bethlehem,181600
2015,Bloomfield,122850
2015,Bolton,155550
2015,Bozrah,127605
2015,Branford,155650
2015,Bridgeport,139920
2015,Bridgewater,339000
2015,Bristol,114380
2015,Brookfield,218015
2015,Brooklyn,136900
2015,Burlington,206500
2015,Canaan,156200
2015,Canterbury,143400
2015,Canton,189480
2015,Chaplin,102100
2015,Cheshire,184930
2015,Chester,210010
2015,Clinton,172300
2015,Colchester,157950
2015,Colebrook,207950
2015,Columbia,155000
2015,Cornwall,178200
2015,Coventry,145550
2015,Cromwell,133240
2015,Danbury,153900
2015,Darien,802585
2015,Deep River,164535
2015,Derby,119350
2015,Durham,204960
2015,East Granby,166900
2015,East Haddam,159530
2015,East Hampton,161755
2015,East Hartford,100100
2015,East Haven,130620
2015,East Lyme,173670
2015,East Windsor,116420
2015,Eastford,151940
2015,Easton,399135
2015,Ellington,170535
2015,Enfield,119035
2015,Essex,235600
2015,Fairfield,344890
2015,Farmington,189645
2015,Franklin,129910
2015,Glastonbury,199600
2015,Goshen,223140
2015,Granby,178570
2015,Greenwich,821800
2015,Griswold,119140
2015,Groton,142100
2015,Guilford,238290
2015,Haddam,200050
2015,Hamden,145775
2015,Hampton,155150
2015,Hartford,45375
2015,Hartland,173815
2015,Harwinton,174650
2015,Hebron,197190
2015,Kent,200700
2015,Killingly,98840
2015,Killingworth,225630
2015,Lebanon,133945
2015,Ledyard,151445
2015,Lisbon,116800
2015,Litchfield,206100
2015,Lyme,256800
2015,Madison,270300
2015,Manchester,117400
2015,Mansfield,138250
2015,Marlborough,182805
2015,Meriden,110250
2015,Middlebury,199300
2015,Middlefield,163350
2015,Middletown,119190
2015,Milford,183660
2015,Monroe,224200
2015,Montville,119340
2015,Morris,166200
2015,Naugatuck,106715
2015,New Britain,91070
2015,New Canaan,899430
2015,New Fairfield,225550
2015,New Hartford,163660
2015,New Haven,108850
2015,New London,94780
2015,New Milford,178570
2015,Newington,130440
2015,Newtown,237310
2015,Norfolk,203070
2015,North Branford,170100
2015,North Canaan,120120
2015,North Haven,193060
2015,North Stoningto,158900
2015,Norwalk,242310
2015,Norwich,83400
2015,Old Lyme,248600
2015,Old Saybrook,236000
2015,Orange,228200
2015,Oxford,223200
2015,Plainfield,98520
2015,Plainville,118335
2015,Plymouth,118210
2015,Pomfret,182955
2015,Portland,150024.5
2015,Preston,135100
2015,Prospect,170950
2015,Putnam,97400
2015,Redding,373800
2015,Ridgefield,372395
2015,Rocky Hill,140595
2015,Roxbury,445630
2015,Salem,155900
2015,Salisbury,327400
2015,Scotland,149310
2015,Seymour,143640
2015,Sharon,264600
2015,Shelton,183780
2015,Sherman,305900
2015,Simsbury,184200
2015,Somers,186250
2015,South Windsor,152800
2015,Southbury,106005
2015,Southington,156990
2015,Sprague,112630
2015,Stafford,121100
2015,Stamford,275230
2015,Sterling,125700
2015,Stonington,197100
2015,Stratford,156345
2015,Suffield,189210
2015,Thomaston,121730
2015,Thompson,111600
2015,Tolland,167447.5
2015,Torrington,87195
2015,Trumbull,235300
2015,Union,171760
2015,Vernon,122650
2015,Voluntown,135895
2015,Wallingford,162300
2015,Warren,241570
2015,Washington,321810
2015,Waterbury,73290
2015,Waterford,141110
2015,Watertown,131450
2015,West Hartford,187145
2015,West Haven,131810
2015,Westbrook,212000
2015,Weston,512050
2015,Westport,656450
2015,Wethersfield,159500
2015,Willington,129190
2015,Wilton,462490
2015,Winchester,95970
2015,Windham,80395
2015,Windsor,130830
2015,Windsor Locks,104450
2015,Wolcott,148130
2015,Woodbridge,244160
2015,Woodbury,197775
2015,Woodstock,156900
